채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
39029307,,"디스플레이, 발광다이오드, LCD",0,㈜민성테크,[주간 주5일제 / 시급10;500원] 아산둔포 / 광학필름 / 자차출퇴근,반도체·디스플레이·광학; 생산·제조·설비·조립; 포장·가공; 화물·중장비,관계없음,235000,학력무관,2021-09-03,2021
34604525,,"유통관리, 생산직",0,한우리물산,한우리물산에서 가족처럼 함께 일 하실분 모집합니다.,,관계없음,235000,학력무관,2020-01-17,2020
34619714,1년 이상,"매니저, 양식, 요리사",0,채낙영 소년서커스,시흥 센트럴돔에 채낙영chef의 레스토랑 에서 주방/서비스 팀원 모집합니다,,경력,235000,학력무관,2020-01-20,2020
34356592,,"쇼핑몰, 제조, 공예디자인",0,㈜보다,`자바` 제조 직원을 모십니다.(손으로만드는거 좋아하시는분),,관계없음,235000,학력무관,2020-01-15,2020
37284565,,"물리치료사, 작업치료사",0,㈜해피시니어매니지먼트,행복한요양원 일산본점에서 작업·물리치료사를 모집합니다..,,관계없음,235000,대졸(2~3년),2021-02-03,2021
34941360,,"고객관리, 매니저, 예약",0,준오헤어,[격주5일/성남지역] JUNO HAIR 안내데스크 매니저 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-02-29,2020
34603772,3년 이상,"카페, 커피숍, 매니저",0,아케이트커피 양주,양주 아케이트 커피 직원모집,,경력,235000,학력무관,2020-01-17,2020
34671848,,"물류, 창고관리",0,에이스코리아,[기본 260만/정규직] 물류센터 사원 모집,,관계없음,235000,학력무관,2020-01-29,2020
36631172,,"관리, 문서관리, 문서수발",0,타임개발,(신입/사무보조) 휴게시간제공 / 중식제공 / 야근없고;칼퇴보장,,관계없음,235000,고졸,2020-11-03,2020
37057075,,"기계, 기계설비, 기계조립",0,주식회사 키움워크,이젠몰 공기청정기 필터 생산업체 사원모집,,관계없음,235000,학력무관,2021-01-03,2021
34583487,,"대기환경, 공정, 생산",0,㈜더블윈,산업용 필터 생산직 채용(경력무관),,관계없음,235000,고졸,2020-01-15,2020
37284610,,"물리치료사, 작업치료사",0,㈜일산시니어 탄현점,행복한요양원 탄현점에서 작업 및 물리치료사를 모집합니다,,관계없음,235000,대졸(2~3년),2021-02-03,2021
37284536,,"물리치료사, 작업치료사",0,행복한요양원 수원,행복한요양원 수원점에서 작업 및 물리치료사를 모집합니다,,관계없음,235000,대졸(2~3년),2021-02-03,2021
34413932,,"세척, 반도체, 반도체장비",0,세윤글로벌,(화성)반도체장비(밸브류)세척회사 생산직 사원 모집,,관계없음,235000,학력무관,2020-01-15,2020
34675216,1년 이상,"양식당, 프랜차이즈, 바리스타",0,마초쉐프건대점,[건대입구역/220만원 이상] 조리/홀매니저 관리자급;신입 모집,,경력,235000,학력무관,2020-01-29,2020
34687869,1년 이상,"일식당, 요리사, 조리사",0,미타제담,3대우동 미타우동 아브뉴프랑 판교점 주방구인 경력 1- 5년 정직원 1명 채용; 바로 근무,,경력,235000,학력무관,2020-01-30,2020
34688001,,"물류센터, 물류관리, 재고관리",0,쿠팡풀필먼트서비스,[여주쿠팡 CFS]인센티브 지급/셔틀有/ 반품 사원 모집 / 주간; 오후사원 모집,,관계없음,235000,학력무관,2020-01-30,2020
34623250,1년 이상,"지게차운전, 운전기사",0,중부물류㈜,평택항 야적장 지게차기사모집(경력자 우대조건임),,경력,235000,학력무관,2020-01-21,2020
34877695,,"매니저, 숍마스터, 잡화매장",0,슬립웨이,[생산직] 침대 매트리스 생산직 정규직 채용(청년우대),,관계없음,235000,학력무관,2020-02-26,2020
34608678,,"물류, 물류관리, 물류센터",0,㈜케이제이씨스템,코웨이 물류센터 현장(DPS)직원모집,,관계없음,235000,학력무관,2020-01-18,2020
34665929,,"보습학원, 어학원, 영어학원",0,알티오라남오산,알티오라 남오산 영어선생님을 모십니다.,,관계없음,235000,대졸(4년),2020-01-28,2020
34665955,1년 이상,"물류, 물류관리, 소셜커머스",0,㈜에이치케이더블류컴퍼니,동대문 도매 야간물류 포장 및 관리 직원 모집,,경력,235000,학력무관,2020-01-29,2020
34613557,,"세척, 반도체, 반도체장비",0,세윤글로벌,(화성)반도체장비(밸브류)세척회사 생산직 사원 모집,,관계없음,235000,학력무관,2020-01-18,2020
34674763,1년 이상,"전기, 전기공사, 전기설계",0,㈜우신이앤씨,스노우멜팅 열선공사;; 전기전공 관련자 우대,,경력,235000,고졸,2020-01-29,2020
38672825,1년 이상,"제과제빵점, 카페, 양식",0,대기개발,퍼들하우스 주방 사원 채용,,경력,235000,고졸,2021-08-01,2021
37733510,,"백화점, 유통관리, 잡화매장",0,㈜형원네트웍스,헌터코리아(포랩) 온라인 자사몰 물류 재고관리 직원 모집,,관계없음,235000,학력무관,2021-04-01,2021
34689814,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[[1공수10만원이상]] 삼성반도체 화성공장 조공사원모집,,관계없음,235000,학력무관,2020-01-30,2020
34666050,,"피부과, 안내, 코디네이터",0,바라봄피부과,성남위례피부과 코디네이터채용. 신입환영 (주4.5일/신규환영),,관계없음,235000,고졸,2020-01-29,2020
34674102,,"매니저, 지점장, 부실장",0,준오헤어2,[격주5일/수내;판교] JUNO HAIR 안내데스크 사원 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-01-29,2020
37261715,,"식품가공, 물류, 창고관리",0,㈜다들림푸드,물류납품 배송기사 모집합니다,,관계없음,235000,학력무관,2021-01-31,2021
34929814,,"양식당, 프랜차이즈, 패밀리레스토랑",0,㈜우리동네에프앤비,이화옥 스테이크 하우스에서  주방 정직원을 모집합니다.,,관계없음,235000,고졸,2020-02-28,2020
37274883,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[일급11만원] 삼성반도체 화성 사업장 배관 조공 모집,,관계없음,235000,학력무관,2021-02-02,2021
36632239,,"일식당, 요리사, Chef",0,마구로코다와리스시,신입 스시 쉐프 모집,,관계없음,235000,학력무관,2020-11-03,2020
36863312,,"관리, 문서관리, 문서수발",0,씨앤오컴퍼니,[컴퓨터활용] 사무보조 - 월230만&중식제공,,관계없음,235000,학력무관,2020-12-03,2020
34937529,,"유지보수, 컴퓨터, 하드웨어",0,㈜오피앤,컴퓨터 수리기사(외근직) 모집,,신입,235000,고졸,2020-02-28,2020
34525195,,"㈜건우유통, 물류, 물류센터",0,㈜건우유통,배송기사 구합니다,,관계없음,235000,고졸,2020-01-29,2020
37482837,1년 이상,견습·조공·보조,0,흥안실업㈜,흥안실업 서희건설 용인 보평현장 품질직원,,경력,235000,학력무관,2021-03-03,2021
34601140,1년 이상,"프라스틱제조, 생산직",0,㈜과연우드,생산직 사원모집 / PS(polystyrene) 욕실장판재 및 인테리어 판재 제조업,,경력,235000,고졸,2020-01-17,2020
36617683,,"관리, 문서관리, 문서수발",0,타임개발,(신입/사무보조) 휴게시간제공 / 중식제공 / 야근없고;칼퇴보장,,관계없음,235000,고졸,2020-11-01,2020
38252759,1년 이상,"제강, 제련, 철강",0,아이케이컴퍼니,[주간/자차/정규직] 파이프 생산업체 관리팀 사원 모집,,경력,235000,학력무관,2021-06-01,2021
34405769,2년 이상,"상세페이지, 편집디자이너, 상품기획",0,㈜보다,동탄 쇼핑몰 편집/웹 디자이너 모집합니다.,,경력,235000,학력무관,2020-01-11,2020
37465398,1년 이상,"분양, 기획, 문서작성",0,주식회사 새날,[김포] 산업단지 분양 기획 / 영업지원,,경력,235000,고졸,2021-02-28,2021
34579064,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[[1공수10만원이상]] 삼성반도체 화성공장 조공사원모집,,관계없음,235000,학력무관,2020-01-15,2020
37465466,1년 이상,"코디네이터, 간호조무사, 한의원",0,시흥교정재생한의원,상담사; 코디 구인합니다.(시흥시 시흥대야역) - 코디네이터; 상담실장급,,경력,235000,고졸,2021-02-28,2021
39321434,,"물류, 물류관리, 배송",0,토우,주5일 근무/법정 공휴일  휴무/출 퇴근 차량지원/ 연차 10일 이상 (서대문/마포/중구/은평/종로 사시는분 우대합니다),물류·운송·배송; 유통·물류·재고,관계없음,235000,학력무관,2021-10-02,2021
37482633,,"무역업, 무역사무",0,우정물류창고㈜,사무직구함,,관계없음,235000,고졸,2021-03-03,2021
36863470,,"부동산개발, 부동산컨설팅, 문서관리",0,AG플래닛,사무팀 신입모집 [월220이상/ 관련자격증 없어도 가능],,관계없음,235000,학력무관,2020-12-03,2020
34580301,,"매니저, 지점장, 부실장",0,준오헤어2,[격주5일/수내;판교] JUNO HAIR 안내데스크 사원 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-01-15,2020
37057713,,"메뉴개발, 양식당, 퓨전푸드",0,무드로그,롯데아울렛 광교점 어반테라스 우오바 브런치하우스에서 주방직원 모집합니다,,관계없음,235000,학력무관,2021-01-03,2021
34659627,,"중식, 서빙, 카운터",0,매란방광교점,[광교 아브뉴프랑 퓨전중식당 매란방에서 홀관리 직원구합니다.],,관계없음,235000,학력무관,2020-01-24,2020
34600492,,"매니저, 지점장, 부실장",0,준오헤어2,[격주5일/수내;판교] JUNO HAIR 안내데스크 사원 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-01-17,2020
34539021,,"메뉴개발, 퓨전푸드, 프랜차이즈",0,주식회사 엄지손가락,[의정부/민락동/숙소운영] 주방 및 홀 정직원을 모집합니다.,,관계없음,235000,고졸,2020-01-17,2020
34659605,,"중식, 서빙",0,매란방광교점,[광교 아브뉴프랑 퓨전중식당 매란방에서 홀관리 직원 구합니다],,관계없음,235000,학력무관,2020-01-24,2020
39079589,1년 이상,"메뉴개발, 양식당, 제과제빵점",0,㈜청운이엔지,파주 MUNJIRI. 535 대형카페 베이커리 팀원 모집합니다.,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,경력,235000,학력무관,2021-09-02,2021
34641963,1년 이상,영어강사,0,토마토어학원,토마토어학원 초중등 영어교사 모집(급구),,경력,235000,대졸(2~3년),2020-01-22,2020
34532186,,"기획, 마케팅, MD",0,주식회사 제이제이아이앤씨,온라인 마케팅/쇼핑몰(디자인가능자우대)가능하신 분-고양시 삼송동,,관계없음,235000,대졸(4년),2020-01-14,2020
36617734,,"문서수발, 복리후생관리, 비품관리",0,신일홀딩스,신입사원채용 -월250 (인사총무/경리),,관계없음,235000,학력무관,2020-11-01,2020
34497181,,"납품, 품질, 조립",0,㈜제이탑코리아,[김포/양촌]주간;2교대/조립/AOI(검사)/월270이상/좌식/의료용기기,,관계없음,235000,학력무관,2020-01-16,2020
34528907,,"매장관리, 홀써빙, 중식",0,매란방광교점,캐주얼 중식당 매란방 광교직영점에서 함께 근무할 정규직직원 구합니다.,,관계없음,235000,학력무관,2020-01-24,2020
36844563,1년 이상,"유통, 광고기획, 마케팅",0,프라임퀄리티,유튜브 sns 컨텐츠 제작/영상 촬영;편집/온라인 마케팅 각 분야 1분씩 모집합니다.,,경력,235000,학력무관,2020-12-02,2020
34611191,,"매니저, 지점장, 부실장",0,준오헤어2,[격주5일/서대문구;은평구] JUNO HAIR 안내데스크 사원 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-01-18,2020
34918938,1년 이상,"두피 관리사, 피부관리사, 마사지",0,스파오라,피부 관리/두피 관리 선생님을 모집합니다.,,경력,235000,학력무관,2020-02-26,2020
34650074,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[[1공수10만원이상]] 삼성반도체 화성공장 조공사원모집,,관계없음,235000,학력무관,2020-01-23,2020
34669995,,"양식당, 제과제빵점, 카페",0,브라우니70본점,브라우니70본점 키친파트 정직원 모집,,신입,235000,학력무관,2020-01-29,2020
34918724,,"물류, 물류센터",0,제이엠피,사무용품 물류 현장 남/여 사원모집 (주 5일/월 220만원이상/셔틀운행/연차사용 가능),,관계없음,235000,학력무관,2020-02-26,2020
34510591,1년 이상,"경공매, 부동산컨설팅, 부동산투자",0,이케이경매,(주부사원모집)일비7만원/오산역 3분거리/배우면서 돈 버실 분,,경력,235000,학력무관,2020-01-29,2020
34586539,1년 이상,"제과제빵점, 베이커리, 파티쉐",0,쥬스혁명,경기도 하남시 미사대로 곤트란쉐리에(GC)에서 쉐프님 모집합니다.,,경력,235000,고졸,2020-01-15,2020
34691317,,"양식당, 요리사, 조리사",0,쉐프리(Chef Lee),Chef Lee에서 주방보조 모집합니다.초보자및 경력자;인근지역 분들 환영합니다.,,관계없음,235000,학력무관,2020-01-30,2020
34690490,,"프랜차이즈, 한식당, 조리사",0,양철드럼통,민락2지구 양철드럼통에서 주방직원을 구합니다,,관계없음,235000,학력무관,2020-01-30,2020
38542873,,"프랜차이즈, 조리사, 주방보조",0,족발신선생풍무점㈜디제이케이파트너,족발신선생 풍무점 정직원 모집,,관계없음,235000,학력무관,2021-07-02,2021
34570897,,"물류센터, 보관, 보세운송",0,대화물류㈜,대화물류(주) 관리부 정산; 결산; 문서관리 / 사무직,,관계없음,235000,학력무관,2020-01-23,2020
34915673,,용접기,0,㈜에이치티아이티,알곤용접사(신입) 모집합니다,,신입,235000,학력무관,2020-02-26,2020
34690432,,"양식당, 요리사, 조리사",0,쉐프리(Chef Lee),Chef Lee에서 주방보조 모집합니다.인근지역 분들 환영합니다.,,관계없음,235000,학력무관,2020-01-30,2020
34593534,,"매니저, 지점장, 부실장",0,준오헤어2,[격주5일/수내;판교] JUNO HAIR 안내데스크 사원 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-01-16,2020
38506534,1년 이상,"가전설치, 물류센터, 배송",0,삼우에프앤지,삼성전자 가전제품 설치 및 배송업무 보조기사 모집(부천삼성전자물류센터),,경력,235000,학력무관,2021-07-03,2021
34922266,,"물류, 창고관리",0,에이스코리아,[기본 260만/정규직] 물류센터 사원 모집,,관계없음,235000,학력무관,2020-02-27,2020
34620047,1년 이상,"일식당, 요리사, 조리사",0,미타제담,3대우동 미타우동 아브뉴프랑 판교점 주방구인 무경력- 5년이내 정직원 채용,,경력,235000,학력무관,2020-01-20,2020
34936959,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[[1공수11만원이상]] 삼성반도체 평택고덕 조공사원모집,,관계없음,235000,학력무관,2020-02-28,2020
34605534,,"전기제어, 전자, 전자회로",0,㈜에이치케이테크,[[1공수10만원이상]] 삼성반도체 화성공장 조공사원모집,,관계없음,235000,학력무관,2020-01-17,2020
34474228,1년 이상,"보안, 보안검색",0,캡스텍 경인지사,KCC여주공장 경비보안대원모집(세전235만원/19년기준)기숙사제공,,경력,235000,고졸,2020-01-16,2020
39383983,,"유아교육, 프로그램상담",0,꿀항아리 놀터,어린이집  ERP 프로그램  교육 및 관리자 모집,학습지·방문교육; 학원상담·관리·운영,관계없음,235000,대졸(2~3년),2021-11-02,2021
34691435,,"식품가공, 창고관리",0,㈜장터,물류창고 책임자 모집 - 식품공장 창고,,관계없음,235000,학력무관,2020-01-30,2020
38554117,1년 이상,"경비, 보안, 시설관리",0,다인종합관리,상가 건물 관리회사 경리채용 (경력직 우대),,경력,235000,학력무관,2021-07-03,2021
39600294,,"경비, 방역, 시설관리",0,한결건물관리,건물관리 관리자 직원구인(영업관리 현장관리 / 경기광주.용인),시설관리·빌딩·경비; 영업관리·지원·영업기획,관계없음,235000,학력무관,2021-11-03,2021
34931302,,"고객관리, 매니저, 예약",0,준오헤어,[격주5일/성남지역] JUNO HAIR 안내데스크 매니저 채용 (신입 / 경력),,관계없음,235000,학력무관,2020-02-28,2020
36478321,,"물류, 물류관리, 물류센터",0,티에스 스포츠,물류팀에서 같이 일할 인재를 찾습니다.,,관계없음,235000,학력무관,2020-10-14,2020
