채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
39320768,,"물류, 물류관리, 물류센터",0,주식회사와이컴퍼니,광주BGF 중분류 인원 모집,물류·운송·배송; 구매·자재,관계없음,300000,학력무관,2021-10-02,2021
38223885,1년 이상,"관로설비, 상하수도",0,청우환경개발㈜,하수관로 매설원 모집,,경력,300000,학력무관,2021-06-01,2021
39601340,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 모집,증권·보험·카드; 금융·보험영업; 법인영업; 영업관리·지원·영업기획,관계없음,300000,고졸,2021-11-03,2021
38473495,8년 이상,"조리사, 양식당, 패밀리레스토랑",0,뻬뽈리,일산 이탈리안 레스토랑 주방 셰프 구함,,경력,300000,고졸,2021-07-03,2021
38806981,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 채용,,관계없음,300000,고졸,2021-08-02,2021
37139412,1년 이상,"국내영업, 기술영업, 납품영업",0,㈜세한프레시젼,건축자재 영업직 직원 채용,,경력,300000,대졸(2~3년),2021-02-03,2021
37341530,,"물류, 물류센터, 입출고관리",0,가인코퍼레이션,공장 및 물류파트 지게차 운전원 모집,,관계없음,300000,학력무관,2021-03-01,2021
38002629,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 모집,,관계없음,300000,고졸,2021-05-02,2021
37275549,,"보험영업, 생명보험, 손해보험",0,인카금융서비스 화랑사업단,[강서 최대 규모 GA / 8종 DB] FA; 부지점장; 지점장; 본부장 모집,,관계없음,300000,고졸,2021-02-02,2021
37284613,,"마트, 유통, 유통관리",0,㈜지알가락공판장 신미사지점,[하남지역; 남양주지역] 대형마트 배송직원 모집합니다.,,관계없음,300000,학력무관,2021-02-03,2021
38266228,1년 이상,"자동차정비, 튜닝",0,오토카월드,경력자 자동차  썬팅및 인테리어 기사,,경력,300000,학력무관,2021-06-02,2021
38000378,,"디스플레이, LED, 생산",0,주식회사 지오씨,[3조2교대] 삼성1차 - 오퍼레이터/검사 정규직 채용(초보가능),,관계없음,300000,학력무관,2021-05-01,2021
39322719,2년 이상,"뷔페, 일식",0,쿠우쿠우평내호평점,쿠우쿠우 평내호평점에서 스시(다내/오로시 가능자)파트 구합니다. 급여 경력에 차등지급,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,경력,300000,학력무관,2021-10-03,2021
37756366,,"보험영업, 생명보험, 손해보험",0,DB손해보험,[서울역 위치] 본사직영 보상처리 담당자 채용 공고,,관계없음,300000,학력무관,2021-04-03,2021
38278202,,"금형, 기계, 기계설계",0,한신 주식회사,동백캐슬홈 상가 및 타운하우스 시설관리자(전기;배관등),,관계없음,300000,학력무관,2021-06-03,2021
38266545,1년 이상,식품판매,0,산본수산,산본수산에서 정직원을 모집합니다,,경력,300000,학력무관,2021-06-02,2021
